iter	Logloss
0	0.6842356771
1	0.6757495104
2	0.6677166883
3	0.6602483375
4	0.653301134
5	0.646911481
6	0.6407186758
7	0.6348564576
8	0.6294050004
9	0.6243489139
10	0.6194569368
11	0.6150006862
12	0.6108231623
13	0.6071343784
14	0.6036177865
15	0.6002363727
16	0.5968924044
17	0.5939119116
18	0.591064551
19	0.5883787568
20	0.5858422235
21	0.5834752043
22	0.5812947833
23	0.5791719746
24	0.5772290983
25	0.5753222167
26	0.5737175121
27	0.5721325192
28	0.5706529047
29	0.5691407817
30	0.5677049058
31	0.5664393747
32	0.5651686884
33	0.5638801004
34	0.5627153197
35	0.5615979713
36	0.5606289429
37	0.5597327939
38	0.5587774886
39	0.5579862977
40	0.5571734553
41	0.5564532476
42	0.5558079081
43	0.5550132102
44	0.5542644562
45	0.5535539264
46	0.5530254755
47	0.5524945401
48	0.5519731391
49	0.5512753268
50	0.5506971578
51	0.5501866432
52	0.5497246188
53	0.5493091128
54	0.5488058472
55	0.5483476825
56	0.5479330028
57	0.5474853573
58	0.5470598452
59	0.546721684
60	0.5463417017
61	0.5459338868
62	0.5456783218
63	0.545402581
64	0.5450668872
65	0.5447837503
66	0.5444444776
67	0.5441987103
68	0.5439790188
69	0.5436775839
70	0.5434749361
71	0.5432233914
72	0.5428173782
73	0.5425367046
74	0.5422778471
75	0.5420857973
76	0.5417915537
77	0.5415463234
78	0.5413085008
79	0.540989096
80	0.5407066629
81	0.5404798943
82	0.5402107106
83	0.5400120595
84	0.5398924264
85	0.5396433501
86	0.5394222837
87	0.5392621785
88	0.5390369389
89	0.5387721136
90	0.538595309
91	0.5383834169
92	0.5381362379
93	0.5379393141
94	0.5376455301
95	0.5374306124
96	0.5372802337
97	0.5371004524
98	0.5369267524
99	0.5367277627
100	0.5364930501
101	0.5362242091
102	0.5360062132
103	0.5359367859
104	0.5357538334
105	0.5355541563
106	0.5352987823
107	0.535111858
108	0.5349376228
109	0.5347850939
110	0.534504247
111	0.5342891216
112	0.5341098032
113	0.5339818465
114	0.5337503795
115	0.5336130397
116	0.5334003544
117	0.5332717306
118	0.5331191172
119	0.5330369097
120	0.5329338862
121	0.5327141734
122	0.5325106799
123	0.5322619155
124	0.5321070308
125	0.5319733822
126	0.5319017795
127	0.531697782
128	0.5315353039
129	0.53140185
130	0.531275339
131	0.5311103774
132	0.530932163
133	0.5307842082
134	0.5306260951
135	0.53042892
136	0.5302105174
137	0.5301337366
138	0.5299128447
139	0.5298292315
140	0.529649246
141	0.5294951533
142	0.5294268628
143	0.5292365609
144	0.5290230871
145	0.5288809409
146	0.5286302229
147	0.5284447764
148	0.5283247861
149	0.5281854949
150	0.5279970901
151	0.5278948366
152	0.5276898962
153	0.5275705676
154	0.5274155314
155	0.5273040283
156	0.5272003552
157	0.5271138943
158	0.5269303306
159	0.5267850428
160	0.5266203644
161	0.5264673709
162	0.5263706771
163	0.5262331947
164	0.5260718201
165	0.5259309732
166	0.5257461347
167	0.5256435639
168	0.5254784202
169	0.5253712985
170	0.5252668342
171	0.5251514571
172	0.5249876628
173	0.5248501767
174	0.5247355668
175	0.5245106648
176	0.5244317617
177	0.5243438432
178	0.5242021173
179	0.5241035032
180	0.5239498303
181	0.5237951553
182	0.5235976206
183	0.5235261216
184	0.5234287705
185	0.5233218526
186	0.5231131787
187	0.5229651387
188	0.5228644838
189	0.5227397033
190	0.5225662001
191	0.5224859065
192	0.522395065
193	0.522213387
194	0.5221171253
195	0.5219899607
196	0.5218350372
197	0.5217278391
198	0.5216105066
199	0.5215425802
200	0.5213680628
201	0.5212708217
202	0.5211694785
203	0.5209990466
204	0.5209222224
205	0.5208023422
206	0.520621561
207	0.5205156615
208	0.520400424
209	0.5202033625
210	0.5201441565
211	0.5200373528
212	0.5198897385
213	0.5197779373
214	0.5196763205
215	0.5195722893
216	0.5195117408
217	0.5194210581
218	0.5191564914
219	0.5190974411
220	0.518932794
221	0.5188622201
222	0.5187661755
223	0.5186419987
224	0.5185512487
225	0.5183977149
226	0.5182636121
227	0.5180613052
228	0.5179170497
229	0.5177473282
230	0.5176508357
231	0.5174760123
232	0.5173171128
233	0.5172029649
234	0.5171126916
235	0.5169762384
236	0.5168327782
237	0.5167308497
238	0.5166215375
239	0.5165175002
240	0.5163823776
241	0.5162582598
242	0.5161465527
243	0.5159703386
244	0.5157294525
245	0.5156516748
246	0.515479929
247	0.5153751534
248	0.5152662616
249	0.5151522115
250	0.5150226357
251	0.5149130144
252	0.5147700238
253	0.5146134402
254	0.5144522878
255	0.5143783983
256	0.5141701612
257	0.5140396255
258	0.5139584057
259	0.5138629208
260	0.5137715118
261	0.5136831978
262	0.5134458255
263	0.5132951163
264	0.5131818652
265	0.5130879956
266	0.5129260558
267	0.5127588192
268	0.5126581885
269	0.5125443419
270	0.5124473482
271	0.5123515589
272	0.5122020272
273	0.5121495238
274	0.5120221931
275	0.5118974863
276	0.511846463
277	0.5117681582
278	0.5116461562
279	0.5115131732
280	0.511329261
281	0.5111843601
282	0.5110852757
283	0.5109895615
284	0.5108395658
285	0.5107922834
286	0.5106467519
287	0.5105432304
288	0.510387103
289	0.5102825772
290	0.5101913564
291	0.5101039467
292	0.5099723343
