iter	Passed	Remaining
0	349	349327
1	520	259536
2	654	217417
3	763	190218
4	867	172728
5	969	160600
6	1076	152651
7	1193	147970
8	1371	151007
9	1536	152109
10	1806	162458
11	2043	168223
12	2222	168772
13	2425	170827
14	2663	174918
15	2861	176011
16	3062	177082
17	3340	182259
18	3609	186347
19	3914	191820
20	4045	188580
21	4218	187514
22	4347	184673
23	4457	181286
24	4591	179074
25	4761	178368
26	4902	176658
27	5084	176518
28	5213	174561
29	5371	173674
30	5595	174918
31	5759	174237
32	5914	173321
33	6038	171564
34	6163	169942
35	6315	169126
36	6454	167983
37	6582	166649
38	6739	166074
39	6891	165405
40	7027	164376
41	7166	163468
42	7301	162497
43	7448	161829
44	7574	160748
45	7749	160717
46	7894	160069
47	8023	159139
48	8158	158350
49	8266	157065
50	8404	156398
51	8509	155135
52	8613	153899
53	8727	152895
54	8830	151731
55	8946	150813
56	9051	149751
57	9149	148593
58	9253	147582
59	9367	146751
60	9477	145896
61	9581	144954
62	9687	144083
63	9827	143719
64	9934	142905
65	10038	142066
66	10142	141238
67	10249	140482
68	10354	139705
69	10469	139091
70	10569	138292
71	10668	137509
72	10798	137124
73	10909	136515
74	11009	135779
75	11126	135271
76	11235	134681
77	11355	134224
78	11462	133632
79	11579	133162
80	11692	132659
81	11813	132251
82	11941	131928
83	12041	131314
84	12138	130667
85	12246	130149
86	12360	129717
87	12468	129214
88	12565	128619
89	12682	128234
90	12801	127875
91	12906	127379
92	13014	126922
93	13115	126409
94	13219	125929
95	13324	125474
96	13437	125097
97	13538	124606
98	13640	124141
99	13775	123982
100	13896	123689
101	14010	123348
102	14112	122905
103	14223	122541
104	14328	122133
105	14434	121744
106	14546	121400
107	14643	120945
108	14752	120594
109	14880	120396
110	15016	120263
111	15124	119916
112	15222	119488
113	15327	119124
114	15455	118941
115	15591	118816
116	15926	120197
117	16220	121240
118	16712	123730
119	17018	124805
120	17172	124746
121	17315	124613
122	17467	124541
123	17729	125250
124	18077	126543
125	18439	127909
126	18740	128820
127	18988	129361
128	19127	129145
129	19257	128878
130	19391	128637
131	19528	128416
132	19658	128152
133	19795	127934
134	19952	127843
135	20098	127682
136	20202	127260
137	20324	126957
138	20466	126776
139	20584	126447
140	20686	126026
141	20794	125645
142	20919	125369
143	21031	125018
144	21137	124640
145	21237	124227
146	21336	123811
147	21433	123385
148	21545	123057
149	21644	122653
150	21740	122233
151	21846	121883
152	21978	121671
153	22084	121321
154	22186	120950
155	22280	120544
156	22388	120213
157	22491	119860
158	22598	119532
159	22696	119155
160	22800	118818
161	22921	118571
162	23039	118305
163	23147	117997
164	23241	117615
165	23342	117276
166	23440	116923
167	23547	116616
168	23652	116301
169	23749	115955
170	23854	115644
171	23976	115423
172	24095	115187
173	24192	114844
174	24281	114468
175	24364	114067
176	24440	113640
