,amount_donated,control_number,months_since_origin,donor_age,in_house,urbanicity,ses,cluster_code,home_owner,donor_gender,income_group,published_phone,overlay_source,mor_hit_rate,wealth_rating,median_home_value,median_household_income,pct_owner_occupied,per_capita_income,pct_attribute1,pct_attribute2,pct_attribute3,pct_attribute4,pep_star,recent_star_status,recency_status_96nk,frequency_status_97nk,recent_response_prop,recent_avg_gift_amt,recent_card_response_prop,recent_avg_card_gift_amt,recent_response_count,recent_card_response_count,months_since_last_prom_resp,lifetime_card_prom,lifetime_prom,lifetime_gift_amount,lifetime_gift_count,lifetime_avg_gift_amt,lifetime_gift_range,lifetime_max_gift_amt,lifetime_min_gift_amt,last_gift_amt,card_prom_12,number_prom_12,months_since_last_gift,months_since_first_gift,file_avg_gift,file_card_gift
0,0.0,5,101,87.0,0,X,5,54,H,M,2.0,0,P,0,5.0,554,294,76,11855,0,0,0,0,1,0,A,1,0.067,15.0,0.0,0.0,1,0,26.0,19,45,297.0,35,8.49,15.0,20.0,5.0,15.0,5,12,26,92,8.49,7
1,10.0,12,137,79.0,0,R,2,45,H,M,7.0,0,P,0,3.0,334,212,72,10385,0,41,21,31,1,1,S,2,0.235,15.0,0.25,15.0,4,2,11.0,32,90,368.0,25,14.72,20.0,25.0,5.0,17.0,7,21,7,122,14.72,12
2,0.0,37,113,75.0,0,S,1,11,H,F,5.0,0,P,0,9.0,2388,405,63,30855,0,25,26,57,1,1,S,3,0.409,21.67,0.545,22.67,9,6,14.0,44,119,603.0,36,16.75,23.0,28.0,5.0,19.0,11,32,6,105,16.75,16
3,0.0,38,92,60.0,0,U,2,04,H,F,6.0,1,B,0,4.0,1688,153,3,16342,0,25,32,42,1,0,A,3,0.474,13.44,0.4,13.5,9,4,11.0,31,96,435.0,37,11.76,14.0,17.0,3.0,15.0,11,33,6,92,11.76,12
4,0.0,41,101,74.0,0,R,2,49,U,F,2.0,1,B,8,5.0,514,328,90,12107,0,33,36,37,0,0,A,1,0.1,17.5,0.111,10.0,2,1,18.0,30,83,106.0,12,8.83,20.0,25.0,5.0,25.0,6,19,18,92,8.83,3
5,0.0,52,101,63.0,0,U,3,08,U,M,3.0,0,P,0,5.0,452,182,51,6851,0,57,38,34,0,0,A,4,0.2,8.33,0.125,10.0,3,1,19.0,22,59,128.0,22,5.82,7.0,10.0,3.0,10.0,9,20,19,91,5.82,6
6,0.0,53,89,71.0,0,R,3,50,H,M,5.0,0,P,0,7.0,376,122,68,5900,0,17,11,51,1,4,A,1,0.16699999999999998,18.67,0.273,18.67,3,3,21.0,29,72,220.0,20,11.0,15.0,20.0,5.0,20.0,7,18,21,91,11.0,8
7,5.0,67,89,79.0,0,C,2,28,H,F,1.0,0,P,0,5.0,1004,189,95,12667,3,44,49,50,1,0,A,4,0.4,5.0,0.444,5.0,8,4,12.0,33,89,101.0,20,5.05,4.0,7.0,3.0,5.0,9,24,9,91,5.05,8
8,0.0,70,89,41.0,0,C,3,30,H,F,4.0,0,P,0,5.0,361,180,56,8132,2,51,45,45,1,0,A,4,0.409,5.0,0.455,5.0,9,5,17.0,36,91,171.0,34,5.03,4.0,7.0,3.0,5.0,11,25,17,91,5.03,14
9,16.0,71,101,63.0,0,R,2,43,H,F,4.0,1,B,0,5.0,399,307,86,11428,1,33,33,29,1,1,S,3,0.35700000000000004,8.6,0.5710000000000001,8.5,5,4,11.0,27,62,150.0,22,6.82,8.0,11.0,3.0,8.0,11,27,9,91,6.82,13
10,0.0,77,113,60.0,1,R,2,43,U,F,5.0,0,M,0,2.0,119,179,41,6519,0,43,0,70,1,1,S,4,0.409,8.67,0.364,8.0,9,4,15.0,45,123,273.0,37,7.38,7.0,10.0,3.0,10.0,11,35,4,110,7.38,14
11,0.0,113,113,60.0,0,R,3,53,U,F,5.0,1,M,0,5.0,168,163,79,9042,0,33,22,43,0,0,A,1,0.095,80.0,0.182,80.0,2,2,20.0,39,94,516.0,14,36.86,80.0,85.0,5.0,85.0,9,21,20,105,36.86,6
12,0.0,122,89,60.0,0,R,1,42,U,F,5.0,0,M,0,5.0,770,256,80,13841,0,32,19,39,1,1,S,4,0.524,3.5,0.7,4.5,11,7,15.0,36,98,100.5,33,3.05,14.0,15.0,1.0,2.0,11,27,15,91,3.05,16
13,0.0,139,101,60.0,0,R,2,46,U,F,5.0,0,M,0,5.0,655,219,77,12671,0,46,24,53,0,0,A,1,0.071,21.0,0.0,0.0,1,0,26.0,11,25,103.0,7,14.71,16.0,21.0,5.0,21.0,4,10,26,90,14.71,2
14,3.0,142,137,60.0,0,R,2,43,U,F,5.0,1,M,0,1.0,475,227,70,10221,0,30,33,29,1,1,S,2,0.35,10.0,0.5,10.0,7,5,22.0,44,110,186.0,31,6.0,9.0,11.0,2.0,10.0,9,22,22,129,6.0,14
