control_number,donated,amount_donated,months_since_origin,donor_age,in_house,urbanicity,ses,cluster_code,home_owner,donor_gender,income_group,published_phone,overlay_source,mor_hit_rate,wealth_rating,median_home_value,median_household_income,pct_owner_occupied,per_capita_income,pct_attribute1,pct_attribute2,pct_attribute3,pct_attribute4,pep_star,recent_star_status,recency_status_96nk,frequency_status_97nk,recent_response_prop,recent_avg_gift_amt,recent_card_response_prop,recent_avg_card_gift_amt,recent_response_count,recent_card_response_count,months_since_last_prom_resp,lifetime_card_prom,lifetime_prom,lifetime_gift_amount,lifetime_gift_count,lifetime_avg_gift_amt,lifetime_gift_range,lifetime_max_gift_amt,lifetime_min_gift_amt,last_gift_amt,card_prom_12,number_prom_12,months_since_last_gift,months_since_first_gift,file_avg_gift,file_card_gift
5,0,0.0,101,87,0,5,5,28,0,1,2,0,2,0,9,554,294,76,11855,0,0,0,0,1,0,0,1,0.067,15.0,0.0,0.0,1,0,26,19,45,297.0,35,8.49,15.0,20.0,5.0,15.0,5,12,26,92,8.49,7
12,1,10.0,137,79,0,1,2,45,0,1,7,0,2,0,3,334,212,72,10385,0,41,21,31,1,1,5,2,0.235,15.0,0.25,15.0,4,2,11,32,90,368.0,25,14.72,20.0,25.0,5.0,17.0,7,21,7,122,14.72,12
37,0,0.0,113,75,0,2,1,11,0,0,5,0,2,0,9,2388,405,63,30855,0,25,26,57,1,1,5,3,0.409,21.67,0.545,22.67,9,6,14,44,119,603.0,36,16.75,23.0,28.0,5.0,19.0,11,32,6,105,16.75,16
38,0,0.0,92,60,0,4,2,4,0,0,6,1,0,0,4,1688,153,3,16342,0,25,32,42,1,0,0,3,0.474,13.44,0.4,13.5,9,4,11,31,96,435.0,37,11.76,14.0,17.0,3.0,15.0,11,33,6,92,11.76,12
41,0,0.0,101,74,0,1,2,49,1,0,2,1,0,8,5,514,328,90,12107,0,33,36,37,0,0,0,1,0.1,17.5,0.111,10.0,2,1,18,30,83,106.0,12,8.83,20.0,25.0,5.0,25.0,6,19,18,92,8.83,3
52,0,0.0,101,63,0,4,3,8,1,1,3,0,2,0,6,452,182,51,6851,0,57,38,34,0,0,0,4,0.2,8.33,0.125,10.0,3,1,19,22,59,128.0,22,5.82,7.0,10.0,3.0,10.0,9,20,19,91,5.82,6
53,0,0.0,89,71,0,1,3,50,0,1,5,0,2,0,7,376,122,68,5900,0,17,11,51,1,4,0,1,0.16699999999999998,18.67,0.273,18.67,3,3,21,29,72,220.0,20,11.0,15.0,20.0,5.0,20.0,7,18,21,91,11.0,8
67,1,5.0,89,79,0,0,2,28,0,0,1,0,2,0,9,1004,189,95,12667,3,44,49,50,1,0,0,4,0.4,5.0,0.444,5.0,8,4,12,33,89,101.0,20,5.05,4.0,7.0,3.0,5.0,9,24,9,91,5.05,8
70,0,0.0,89,41,0,0,3,30,0,0,4,0,2,0,9,361,180,56,8132,2,51,45,45,1,0,0,4,0.409,5.0,0.455,5.0,9,5,17,36,91,171.0,34,5.03,4.0,7.0,3.0,5.0,11,25,17,91,5.03,14
71,1,16.0,101,63,0,1,2,43,0,0,4,1,0,0,2,399,307,86,11428,1,33,33,29,1,1,5,3,0.35700000000000004,8.6,0.5710000000000001,8.5,5,4,11,27,62,150.0,22,6.82,8.0,11.0,3.0,8.0,11,27,9,91,6.82,13
